SAT,GPA,Dummy
1714,2.4,1
1664,2.52,2
1760,2.54,1
1685,2.74,2
1693,2.83,3
1670,2.91,2
1764,3,1
1764,3,2
1792,3.01,3
1850,3.01,1
1735,3.02,2
1775,3.07,3
1735,3.08,1
1712,3.08,2
1773,3.12,1
1872,3.17,3
1755,3.17,1
1674,3.17,2
1842,3.17,1
1786,3.19,2
1761,3.19,3
1722,3.19,2
1663,3.2,1
1687,3.21,3
1974,3.24,2
1826,3.28,1
1787,3.28,3
1821,3.28,2
2020,3.28,1
1794,3.28,3
1769,3.28,2
1934,3.28,1
1775,3.29,2
1855,3.29,3
1880,3.29,2
1849,3.31,1
1808,3.32,2
1954,3.34,2
1777,3.37,2
1831,3.37,2
1865,3.37,3
1850,3.38,3
1966,3.38,1
1702,3.39,1
1990,3.39,
1925,3.4,2
1824,3.4,1
1956,3.4,3
1857,3.41,2
1979,3.41,3
1802,3.41,1
1855,3.42,2
1907,3.42,1
1634,3.42,3
1879,3.44,2
1887,3.47,3
1730,3.47,2
1953,3.47,1
1781,3.47,2
1891,3.48,2
1964,3.49,1
1808,3.49,2
1893,3.5,1
2041,3.51,2
1893,3.51,3
1832,3.52,3
1850,3.52,2
1934,3.54,2
1861,3.58,1
1931,3.58,2
1933,3.59,3
1778,3.59,2
1975,3.6,1
1934,3.6,2
2021,3.61,3
2015,3.62,3
1997,3.64,3
2020,3.65,3
1843,3.71,3
1936,3.71,1
1810,3.71,2
1987,3.73,1
1962,3.76,2
2050,3.81,1
